Z,Simple,BA,BB,BC,BD,BE,Bed,Every
5.2,1669.106,1782.319,1735.417,1676.151,1782.858,1880.533,2049.243,2117.235
5.25,1696.409,1815.682,1763.753,1703.568,1816.442,1914.914,2084.732,2156.825
5.3,1723.76,1849.191,1792.145,1731.033,1850.212,1949.483,2120.385,2196.679
5.35,1751.156,1882.842,1820.592,1758.546,1884.165,1984.24,2156.201,2236.798
5.4,1778.598,1916.634,1849.093,1786.104,1918.3,2019.184,2192.18,2277.179
5.45,1806.084,1950.563,1877.646,1813.708,1952.617,2054.312,2228.32,2317.821
5.5,1833.612,1984.629,1906.251,1841.355,1987.113,2089.624,2264.62,2358.723
5.55,1861.183,2018.83,1934.907,1869.046,2021.788,2125.119,2301.078,2399.883
5.6,1888.795,2053.162,1963.611,1896.778,2056.64,2160.794,2337.694,2441.3
5.65,1916.446,2087.624,1992.363,1924.551,2091.668,2196.65,2374.467,2482.973
5.7,1944.137,2122.215,2021.163,1952.364,2126.871,2232.684,2411.395,2524.901
5.75,1971.866,2156.931,2050.008,1980.216,2162.248,2268.896,2448.478,2567.082
5.8,1999.632,2191.773,2078.898,2008.106,2197.797,2305.285,2485.714,2609.515
5.85,2027.434,2226.736,2107.833,2036.033,2233.519,2341.849,2523.104,2652.199
5.9,2055.273,2261.821,2136.81,2063.997,2269.411,2378.587,2560.645,2695.134
5.95,2083.146,2297.025,2165.83,2091.997,2305.472,2415.499,2598.336,2738.317
6,2111.053,2332.346,2194.891,2120.031,2341.702,2452.582,2636.178,2781.749
6.05,2164.247,2382.39,2248.276,2173.251,2392.056,2503.794,2693.846,2835.911
6.1,2217.714,2433.429,2301.954,2226.746,2443.424,2556.022,2751.925,2891.178
6.15,2271.447,2485.246,2355.92,2280.509,2495.589,2609.051,2810.407,2947.331
6.2,2325.439,2537.744,2410.166,2334.533,2548.453,2662.784,2869.284,3004.272
6.25,2379.686,2590.855,2464.684,2388.814,2601.952,2717.154,2928.548,3061.934
6.3,2434.18,2644.532,2519.469,2443.344,2656.035,2772.112,2988.19,3120.267
6.35,2488.917,2698.735,2574.515,2498.118,2710.665,2827.62,3048.204,3179.232
6.4,2543.89,2753.431,2629.814,2553.131,2765.809,2883.647,3108.582,3238.796
6.45,2599.094,2808.593,2685.362,2608.376,2821.441,2940.165,3169.318,3298.93
6.5,2654.525,2864.198,2741.152,2663.85,2877.538,2997.15,3230.405,3359.612
6.55,2710.177,2920.225,2797.18,2719.546,2934.078,3054.583,3291.837,3420.819
6.6,2766.045,2976.654,2853.439,2775.46,2991.045,3112.445,3353.608,3482.534
6.65,2822.124,3033.47,2909.924,2831.587,3048.421,3170.721,3415.711,3544.738
6.7,2878.41,3090.657,2966.631,2887.923,3106.192,3229.395,3478.141,3607.417
6.75,2934.899,3148.201,3023.554,2944.463,3164.346,3288.454,3540.892,3670.558
6.8,2991.586,3206.091,3080.69,3001.202,3222.869,3347.887,3603.96,3734.147
6.85,3048.467,3264.314,3138.033,3058.136,3281.751,3407.682,3667.339,3798.173
6.9,3105.538,3322.86,3195.578,3115.262,3340.982,3467.829,3731.024,3862.625
6.95,3162.795,3381.719,3253.322,3172.575,3400.552,3528.318,3795.01,3927.493
7,3220.234,3440.881,3311.261,3230.071,3460.453,3589.142,3859.293,3992.769
7.05,3277.852,3500.338,3369.39,3287.747,3520.676,3650.291,3923.868,4058.443
7.1,3335.644,3560.083,3427.706,3345.599,3581.214,3711.758,3988.73,4124.508
7.15,3393.607,3620.106,3486.204,3403.624,3642.06,3773.537,4053.877,4190.956
7.2,3451.738,3680.402,3544.881,3461.817,3703.207,3835.62,4119.303,4257.78
7.25,3510.034,3740.963,3603.734,3520.176,3764.649,3898,4185.004,4324.973
7.3,3568.49,3801.782,3662.758,3578.697,3826.379,3960.674,4250.977,4392.53
7.35,3627.105,3862.855,3721.951,3637.378,3888.394,4023.633,4317.218,4460.444
7.4,3685.875,3924.175,3781.309,3696.214,3950.686,4086.874,4383.723,4528.71
7.45,3744.796,3985.736,3840.829,3755.204,4013.251,4150.392,4450.49,4597.322
7.5,3803.867,4047.533,3900.507,3814.343,4076.085,4214.181,4517.513,4666.276
7.55,3863.084,4109.562,3960.342,3873.63,4139.183,4278.236,4584.791,4735.566
7.6,3922.444,4171.817,4020.329,3933.061,4202.54,4342.555,4652.32,4805.188
7.65,3981.945,4234.294,4080.466,3992.633,4266.153,4407.133,4720.097,4875.139
7.7,4041.584,4296.988,4140.75,4052.345,4330.017,4471.965,4788.118,4945.413
7.75,4101.358,4359.896,4201.179,4112.193,4394.129,4537.048,4856.381,5016.006
7.8,4161.266,4423.012,4261.749,4172.175,4458.486,4602.378,4924.884,5086.916
7.85,4221.304,4486.334,4322.459,4232.289,4523.083,4667.952,4993.622,5158.138
7.9,4281.47,4549.858,4383.304,4292.532,4587.918,4733.768,5062.594,5229.668
7.95,4341.762,4613.579,4444.284,4352.901,4652.987,4799.82,5131.797,5301.505
8,4402.178,4677.494,4505.396,4413.395,4718.288,4866.107,5201.228,5373.643
