Z,Simple,Single,Frugal,Over,Super,Bed,Every
10.23,15454.021,16383.085,15881.556,16556.647,17545.548,17086.016,17693.829
10.28,15722.372,16659.028,16169.034,16852.744,17854.069,17386.591,18007.008
10.33,15991.868,16936.407,16458.236,17151.002,18164.882,17689.13,18322.777
10.38,16262.492,17215.198,16749.144,17451.398,18477.965,17993.619,18641.113
10.43,16534.232,17495.381,17041.743,17753.913,18793.298,18300.044,18961.994
10.48,16807.07,17776.934,17336.017,18058.527,19110.863,18608.394,19285.398
10.53,17080.994,18059.839,17631.951,18365.223,19430.64,18918.656,19611.307
10.58,17355.988,18344.075,17929.532,18673.984,19752.613,19230.817,19939.704
10.63,17631.936,18629.614,18228.63,18984.779,20076.755,19544.837,20270.715
10.68,17908.505,18916.405,18528.874,19297.546,20403.02,19860.609,20604.823
10.73,18186.092,19204.47,18830.708,19612.327,20731.429,20178.24,20941.477
10.78,18464.682,19493.791,19134.117,19929.108,21061.968,20497.719,21280.662
10.83,18744.264,19784.35,19439.09,20247.876,21394.624,20819.035,21622.367
10.88,19024.824,20076.133,19745.613,20568.618,21729.383,21142.178,21966.578
10.93,19306.35,20369.123,20053.676,20891.323,22066.233,21467.138,22313.283
10.98,19588.83,20663.305,20363.266,21215.978,22405.162,21793.905,22662.468
11.03,19872.252,20958.665,20674.371,21542.574,22746.157,22122.47,23014.124
11.08,20156.604,21255.186,20986.98,21871.098,23089.207,22452.823,23368.238
11.13,20446.481,21554.836,21305.945,22203.82,23436.28,22787.858,23724.927
11.18,20755.491,21873.342,21634.892,22545.229,23791.103,23134.787,24084.839
11.23,21080.773,22209.611,21970.877,22894.106,24152.648,23491.837,24449.096
11.28,21407.277,22547.366,22308.774,23245.319,24516.652,23850.92,24817.027
11.33,21734.987,22886.59,22648.543,23598.831,24883.077,24212.016,25188.288
11.38,22063.889,23227.263,22990.148,23954.603,25251.893,24575.11,25562.673
11.43,22393.967,23569.368,23333.556,24312.602,25623.067,24940.183,25940.039
11.48,22725.208,23912.887,23678.738,24672.798,25996.57,25307.219,26320.28
11.53,23057.596,24257.802,24025.663,25035.162,26372.376,25676.204,26703.31
11.58,21722.365,24439.691,24374.333,25399.693,26750.486,25614.467,27089.089
11.63,21546.743,24761.569,24749.362,25771.641,27135.006,25898.416,27479.358
11.68,21427.479,25099.866,25129.831,26149.084,27525.097,26213.357,27875.072
11.73,21599.846,25457.445,25514.941,26531.225,27920.044,26582.404,28276.004
11.78,21957.376,25827.606,25904.59,26917.955,28319.879,26984.209,28681.928
11.83,22316.07,26200.003,26298.193,27308.693,28724.054,27388.518,29092.418
11.88,22675.907,26574.578,26695.528,27703.21,29132.391,27795.294,29507.278
11.93,23036.869,26951.274,27096.419,28101.333,29544.756,28204.504,29926.362
11.98,23398.938,27330.041,27500.725,28502.918,29961.04,28616.114,30349.554
12.03,23762.095,27710.83,27908.327,28907.844,30381.155,29030.092,30776.756
12.08,24126.323,28093.593,28319.122,29316.009,30805.023,29446.409,31207.886
12.13,24491.606,28478.286,28733.022,29727.321,31232.577,29865.034,31642.872
12.18,24864.033,28875.057,29151.101,30142.854,31664.589,30288.052,32082.966
12.23,25241.726,29280.755,29572.991,30562.241,32100.799,30714.827,32527.884
12.28,25620.639,29688.623,29997.88,30984.665,32540.623,31143.948,32976.755
12.33,26000.754,30098.623,30425.706,31410.066,32984.015,31575.387,33429.532
12.38,26382.055,30510.721,30856.414,31838.387,33430.933,32009.12,33886.172
12.43,26764.525,30924.885,31289.953,32269.576,33881.339,32445.121,34346.637
12.48,27183.703,31356.166,31736.736,32714.045,34336.609,32902.981,34812.303
12.53,27613.258,31793.849,32189.748,33164.779,34797.707,33368.476,35284.134
12.58,28044.321,32234.179,32646.373,33619.159,35263.648,33836.72,35761.144
12.63,28476.87,32677.101,33106.512,34077.089,35734.008,34307.674,36242.91
12.68,28910.884,33122.562,33570.08,34538.479,36208.521,34781.303,36729.165
12.73,29354.791,33580.861,34041.674,35007.928,36691.142,35263.261,37220.037
12.78,29800.199,34041.69,34516.637,35480.777,37177.673,35747.9,37715.381
12.83,30247.086,34505,34994.898,35956.954,37667.998,36235.186,38214.956
12.88,30695.434,34970.749,35476.388,36436.392,38162.018,36725.085,38718.61
12.93,31145.222,35438.894,35961.046,36919.026,38659.652,37217.565,39226.231
12.98,31596.432,35909.394,36448.813,37404.798,39160.832,37712.593,39737.729
13.03,32049.043,36382.21,36939.634,37893.652,39665.496,38210.141,40253.03
13.08,32503.037,36857.306,37433.456,38385.536,40173.592,38710.178,40772.071
